food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
"Amaranth seed, black (Amaranthus cruentus)",356.11,59.98,14.59,5.74,7.02
"Amaranth seed, pale brown (Amaranthus cruentus)",355.87,61.46,13.27,5.56,7.47
Bajra (Pennisetum typhoideum),347.98,61.78,10.96,5.43,11.49
Barley (Hordeum vulgare),315.72,61.29,10.94,1.3,15.64
Jowar (Sorghum vulgare),334.12,67.68,9.97,1.73,10.22
"Maize, dry (Zea mays)",334.12,64.77,8.8,3.77,12.24
"Maize, tender, local (Zea mays)",119.98,22.69,3.57,1.4,3.67
"Maize, tender, sweet (Zea mays)",96.8,16.42,4.16,1.35,3.3
Quinoa (Chenopodium quinoa),328.39,53.65,13.11,5.5,14.66
Ragi (Eleusine coracana),320.74,66.82,7.16,1.92,11.18
Rice flakes (Oryza sativa ),353.72,76.75,7.44,1.14,3.46
Rice puffed (Oryza sativa ),361.85,77.68,7.47,1.62,2.56
"Rice, raw, brown (Oryza sativa )",353.72,74.8,9.16,1.24,4.43
"Rice, parboiled, milled (Oryza sativa )",351.57,77.16,7.81,0.55,3.74
"Rice, raw, milled (Oryza sativa )",356.35,78.24,7.94,0.52,2.81
Samai (Panicum miliare),346.31,65.55,10.13,3.89,7.72
Varagu (Paspalum scrobiculatum),331.73,66.19,8.92,2.55,6.39
"Wheat flour, refined (Triticum aestivum)",351.81,74.27,10.36,0.76,2.76
"Wheat flour, atta (Triticum aestivum)",320.26,64.17,10.57,1.53,11.36
"Wheat, whole (Triticum aestivum)",321.93,64.72,10.59,1.47,11.23
"Wheat, bulgur (Triticum aestivum)",341.77,69.06,10.84,1.45,8.81
"Wheat, semolina (Triticum aestivum)",333.64,68.43,11.38,0.74,9.72
"Wheat, vermicelli (Triticum aestivum)",332.69,70.39,9.7,0.45,9.28
"Wheat, vermicelli, roasted (Triticum aestivum)",340.1,71.42,10.37,0.49,9.55
Foxtail millet (Italian millet),331,60.9,12.3,4.3,8
Proso millet (Panivaragu),341,70.4,12.5,1.1,2.2
"Rice, parboiled, handpounded",349,77.4,8.5,0.6,0
"Rice, raw, handpounded",346,76.7,7.5,1,0.6
"Rice, bran",393,48.4,13.5,16.2,4.3
Barnyard millet (Sanwa millet),307,65.5,6.2,2.2,9.8
"Wheat, germ",397,53.3,29.2,7.4,1.4
Bamboo seeds,367,75.9,13.1,1.2,0.9
Banti,271,74.7,8.3,4.3,0
Buckwheat,323,65.1,10.3,2.4,8.6
Chenopodium album seeds,0,0,14.4,7.3,0
Cowage seed flour,398,55.6,28.2,7,2.2
Daincha seeds,327,45.1,28.1,3.8,8.6
Job's tears,378,63.4,17.5,6,0.5
Oatmeal,374,62.8,13.6,7.6,3.5
Kittul flour,339,81.7,2.4,0.3,0
Lotus seed,346,64,17.2,2.4,2.6
Makhana,347,76.9,9.7,0.1,0
Rajkeera seeds,364,62.7,16.5,5.3,2.7
Water lily seeds,345,75.6,8.3,1,4.2
"Breakfast cereal, crunchy clusters type, without nuts, unfortified",399,71,7.2,11.6,7.2
"Couscous, plain, raw",364,79.2,12,2.1,3.7
"Flour, corn",354,92,0.6,0.7,0
"Flour, gram",353,57,22.7,5.4,10.1
"Flour, rice",366,80.1,6.4,0.8,0
"Pasta, white, dried, raw",343,75.6,11.3,1.6,0
"Porridge oats, unfortified",381,70.7,10.9,8.1,7.8
BLACK RICE,372,79.1,11.6,3.49,4.7
CRACKED WHEAT,350,75,12.5,1.25,12.5
"SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA",400,50,16.67,33.33,0
"ALMOND FLOUR, ALMOND",571,21.43,21.43,50,14.3
"Buckwheat, groats",364,84.9,8.1,1.5,0
"Bengal gram, dal (Cicer arietinum)",329.1,46.72,21.55,5.31,15.15
"Bengal gram, whole (Cicer arietinum)",287.04,39.56,18.77,5.11,25.22
"Black gram, dal (Phaseolus mungo)",324.08,51,23.06,1.69,11.93
"Black gram, whole (Phaseolus mungo)",291.34,43.99,21.97,1.58,20.41
"Cowpea, brown (Vigna catjang)",320.26,54.62,20.36,1.15,11.54
"Cowpea, white (Vigna catjang)",320.26,53.77,21.25,1.14,11.7
"Field bean, black (Phaseolus vulgaris)",276.05,43.46,19.93,0.92,23.4
"Field bean, brown (Phaseolus vulgaris)",282.98,45.24,19.9,0.98,22.4
"Field bean, white (Phaseolus vulgaris)",280.35,44.53,19.84,0.94,22.99
"Green gram, dal (Vigna radiata)",325.76,52.59,23.88,1.35,9.37
"Green gram, whole (Vigna radiata)",293.73,46.13,22.53,1.14,17.04
"Horse gram, whole (Dolicus biflorus)",329.58,57.24,21.73,0.62,7.88
Lentil dal (Lens culinaris),322.41,52.53,24.35,0.75,10.43
"Lentil whole, brown (Lens culinaris)",298.99,48.47,22.49,0.64,16.82
"Lentil whole, yellowish (Lens culinaris)",297.79,47.91,22.87,0.61,16.66
Moth bean (Vigna aconitifolia),308.55,52.09,19.75,1.76,15.12
"Peas, dry (Pisum sativum)",303.29,48.93,20.43,1.89,17.01
"Rajmah, black (Phaseolus vulgaris)",298.03,49.59,19.01,1.62,17.74
"Rajmah, brown (Phaseolus vulgaris)",297.56,48.83,19.5,1.68,16.95
"Rajmah, red (Phaseolus vulgaris)",299.23,48.61,19.91,1.77,16.57
"Red gram, dal (Cajanus cajan)",330.78,55.23,21.7,1.56,9.06
"Red gram, whole (Cajanus cajan)",273.89,42.48,20.47,1.38,22.84
Ricebean (Vigna umbellata),302.34,51.26,19.97,0.74,13.37
"Soya bean, brown (Glycine max)",381.44,12.79,35.58,19.82,21.55
"Soya bean, white (Glycine max)",377.38,10.16,37.8,19.42,22.63
"Bengal gram, roasted",369,58.1,22.5,5.2,1
"Field bean, dry",347,60.1,24.9,0.8,1.4
"Khesari, dhal",345,56.6,28.2,0.6,2.3
Peas roasted,340,58.8,22.9,1.4,4.4
Goa beans,0,0,32.7,18.4,7.2
Malmandi,0,0,26.1,0,0
Sutari,332,60.9,21.5,0.3,4.2
"Beans, chick peas, Kabuli, whole, dried, raw",320,49.6,21.3,5.4,0
"Beansprouts, mung, boiled in unsalted water",25,2.8,2.5,0.5,0
"Flour, soya",409,18.7,34.3,22.4,18
